READING DATE,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,23:59:00
2021-09-18,14,14,14,14,14,13,13,13,13,13,13,13,13,14,14,16,16,17,17,19,19,20,20,22,22,21,21,21,21,21,21,20,20,19,19,18,18,18,18,17,17,17,17,16,16,16,16,15
2021-09-19,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,14,14,13,13,12
2021-09-20,12,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,13,13,14,14,15,15,16,16,16,16,17,17,17,17,16,16,16,16,16,16,14,14,13,13,12,12,12,12,12,12,12
2021-09-21,12,12,12,12,12,12,12,11,11,11,11,11,11,13,13,14,14,15,15,16,16,18,18,19,19,20,20,20,20,21,21,19,19,18,18,17,17,16,16,16,16,15,15,14,14,14,14,13
2021-09-22,13,13,13,13,13,13,13,12,12,12,12,12,12,13,13,15,15,16,16,18,18,19,19,21,21,21,21,21,21,21,21,20,20,19,19,18,18,17,17,16,16,14,14,14,14,13,13,13
2021-09-23,13,12,12,12,12,12,12,13,13,13,13,14,14,14,14,15,15,15,15,17,17,18,18,20,20,20,20,19,19,19,19,18,18,17,17,16,16,15,15,15,15,14,14,14,14,13,13,13
2021-09-24,13,13,13,13,13,13,13,13,13,13,13,12,12,14,14,15,15,16,16,18,18,20,20,21,21,22,22,22,22,22,22,21,21,19,19,18,18,18,18,17,17,17,17,17,17,17,17,16
2021-09-25,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,16,16,16,16,17,17,18,18,19,19,20,20,20,20,21,21,20,20,20,20,19,19,19,19,18,18,18,18,17,17,17,17,17
2021-09-26,17,16,16,15,15,14,14,14,14,14,14,14,14,15,15,16,16,17,17,19,19,20,20,22,22,22,22,22,22,22,22,21,21,20,20,19,19,18,18,17,17,17,17,16,16,16,16,15
2021-09-27,15,14,14,12,12,11,11,11,11,10,10,10,10,10,10,11,11,12,12,14,14,15,15,16,16,17,17,17,17,17,17,16,16,15,15,15,15,13,13,12,12,11,11,11,11,11,11,10
2021-09-28,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,12,11,11,11,11,10,10,9,9,9,9,9,9,9
2021-09-29,9,9,9,9,9,9,9,8,8,8,8,7,7,8,8,9,9,10,10,11,11,12,12,14,14,14,14,14,14,14,14,13,13,12,12,10,10,10,10,10,10,9,9,9,9,9,9,8
2021-09-30,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,14,14,14,14,14,14,13,13,13,13,13
2021-10-01,13,13,13,13,13,13,13,13,13,14,14,14,14,13,13,13,13,12,12,13,13,14,14,15,15,15,15,15,15,15,15,13,13,12,12,10,10,9,9,9,9,8,8,8,8,8,8,9
2021-10-02,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,11,12,12,11,11,10,10,9,9,10,10,10,10,11,11,11,11,10,10,10,10,9,9,9,9,9
2021-10-03,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,10,10,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,12,12,12,12,11,11,10,10,10,10,10,10,10,10,10
2021-10-04,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11
2021-10-05,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9
2021-10-06,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,13,13,15,15,15,15,15,15,15,15,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10
2021-10-07,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,14,14,16,16,17,17,18,18,18,18,19,19,19,19,18,18,17,17,16,16,15,15,15,15,14,14,14,14,14,14,15
2021-10-08,15,14,14,14,14,14,14,14,14,13,13,13,13,14,14,15,15,16,16,17,17,19,19,20,20,20,20,20,20,21,21,20,20,19,19,18,18,18,18,17,17,17,17,16,16,15,15,15
2021-10-09,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,14,14,14,14,15,15,17,17,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15,15,15
2021-10-10,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,17,17,18,18,18,18,18,18,19,19,17,17,15,15,13,13,12,12,11,11,11,11,10,10,10,10,10
2021-10-11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,13,13,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9
2021-10-12,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,12,12,13,13,13,13,13,13,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11
2021-10-13,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,14,13,13,12,12,12,12,11,11,11,11,11
2021-10-14,11,11,11,10,10,10,10,10,10,10,10,9,9,10,10,11,11,12,12,13,13,15,15,16,16,17,17,17,17,17,17,16,16,15,15,15,15,14,14,13,13,12,12,12,12,12,12,12
2021-10-15,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,11,11,12,12,12,12,12,12,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,10,10,10
2021-10-16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11
2021-10-17,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12
2021-10-18,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14
2021-10-19,14,14,14,14,14,13,13,13,13,14,14,14,14,15,15,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,15,15,15
2021-10-20,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,14,14,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8
2021-10-21,8,8,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,7,7,8,8,10,10,12,12,11,11,11,11,11,11,10,10,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7
2021-10-22,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,12,12,13,13,13,13,12,12,11,11,10,10,10,10,10,10,10,10,9,9,8,8,7
2021-10-23,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10
2021-10-24,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,13,13,13,13,12,12,12,12,12,12,13,13,12,12,12,12,11,11,11,11,11,11,10
2021-10-25,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,13,13,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8,8,8
2021-10-26,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,11,11,11,11,11,11,12,12,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,12,12,12,12,12,13,13,13
2021-10-27,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,14,14,14,14,13,13,13
2021-10-28,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14
2021-10-29,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,10,10,10,10,9,9,9,9,10,10,10
2021-11-10,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,10,10,11,11,12,12,14,14,13,13,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9,9,8
2021-11-11,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8,8,8,10,10,11,11,13,13,13,13,13,13,14,14,13,13,12,12,11,11,10,10,9,9,8,8,8,8,9,9,9
2021-11-12,9,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,12,12,12,12,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
2021-11-13,12,11,11,11,11,11,11,11,11,11,11,10,10,11,11,11,11,11,11,11,11,12,12,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9,9,9,9,8,8,8
2017-09-01,12,12,12,12,12,11,11,11,11,11,11,11,11,12,12,13,13,15,15,16,16,17,17,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,13,13,13,13,12,12,12
2017-09-02,12,12,12,11,11,11,11,11,11,11,11,10,10,12,12,14,14,15,15,16,16,17,17,19,19,19,19,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13
2017-09-03,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-09-04,13,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,16,16,17,17,19,19,21,21,21,21,21,21,21,21,20,20,20,20,19,19,18,18,18,18,17,17,17,17,17,17,17
2017-09-05,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13,13,13
2017-09-06,13,12,12,12,12,12,12,12,12,12,12,11,11,12,12,13,13,14,14,15,15,16,16,16,16,17,17,17,17,17,17,16,16,16,16,15,15,15,15,14,14,13,13,13,13,12,12,12
2017-09-07,12,12,12,12,12,12,12,11,11,11,11,11,11,12,12,13,13,15,15,15,15,16,16,17,17,17,17,17,17,18,18,17,17,16,16,16,16,15,15,15,15,15,15,15,15,14,14,14
2017-09-08,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,14,15,15,16,16,17,17,17,17,17,17,17,17,16,16,16,16,15,15,14,14,13,13,13,13,12,12,12,12,11
2017-09-09,11,11,11,11,11,10,10,10,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,15,15,16,16,16,16,16,16,15,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,11
2017-09-10,11,11,11,11,11,11,11,10,10,10,10,10,10,11,11,12,12,13,13,13,13,13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,11,11,10,10,10
2017-09-11,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,14,14,14,14,13,13,13,13,12,12,11,11,11,11,11,11,11
2017-09-12,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16,16,15,15,15,15,15,15,14,14,13,13,13,13,13,13,12,12,13,13,14,14,14
2017-09-13,14,14,14,13,13,12,12,12,12,11,11,10,10,11,11,12,12,13,13,13,13,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-09-14,9,9,9,8,8,8,8,8,8,9,9,9,9,10,10,11,11,13,13,14,14,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-09-15,9,9,9,8,8,8,8,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15,15,15,15,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,9
2017-09-16,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9
2017-09-17,9,9,9,9,9,9,9,8,8,8,8,8,8,9,9,10,10,11,11,12,12,13,13,15,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,12,12,11,11,11,11,11,11,10
2017-09-18,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,11,11,12,12,13,13,14,14,15,15,15,15,15,15,15,15,14,14,13,13,12,12,12,12,11,11,11,11,11,11,11,11,10
2017-09-19,10,10,10,9,9,9,9,9,9,8,8,8,8,9,9,10,10,12,12,13,13,14,14,15,15,15,15,16,16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,12,12,11
2017-09-20,11,11,11,11,11,10,10,10,10,10,10,10,10,12,12,13,13,14,14,15,15,16,16,17,17,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14
2017-09-21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12
2017-09-22,12,11,11,11,11,10,10,9,9,9,9,8,8,9,9,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13
2017-09-23,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,16,16,16,16,17,17,18,18,18,18,17,17,17,17,16,16,15,15,14,14,14,14,13,13,13,13,13
2017-09-24,13,13,13,13,13,13,13,12,12,12,12,11,11,12,12,14,14,15,15,16,16,18,18,19,19,19,19,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,15,15,15,15,15
2017-09-25,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14
2017-09-26,14,13,13,13,13,12,12,12,12,12,12,12,12,13,13,14,14,15,15,15,15,16,16,16,16,17,17,17,17,18,18,17,17,17,17,16,16,16,16,15,15,14,14,14,14,14,14,13
2017-09-27,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,14,14,15,15,17,17,18,18,18,18,18,18,19,19,17,17,16,16,15,15,15,15,15,15,14,14,14,14,15,15,15
2017-09-28,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,15,15,16,16,17,17,17,17,18,18,18,18,18,18,17,17,16,16,16,16,15,15,14,14,13,13,13,13,13,13,13
2017-09-29,13,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,17,17,17,17,16,16,16,16,15,15,14,14,14,14,13,13,13,13,12,12,12,12,11,11,11
2017-09-30,11,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-01,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14
2017-10-02,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,11,11,11,11,11,10,10,10,10,10
2017-10-03,10,10,10,10,10,10,10,9,9,9,9,9,9,10,10,11,11,11,11,12,12,13,13,14,14,13,13,13,13,13,13,13,13,12,12,12,12,11,11,11,11,10,10,10,10,9,9,9
2017-10-04,9,9,9,9,9,9,9,9,9,8,8,8,8,9,9,10,10,11,11,12,12,12,12,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,13,13,13,13,14,14,15
2017-10-05,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,12,12,12,12,13,13,13,13,14,14,14,14,14,14,13,13,13,13,12,12,11,11,11,11,10,10,10,10,10,10,9,9,9
2017-10-06,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10
2017-10-07,10,11,11,11,11,12,12,12,12,13,13,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,12,12,12,12,11,11,11,11,11,11,11
2017-10-08,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,14,14,15,15,15,15,15,15,16,16,15,15,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13
2017-10-09,13,13,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,15,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12
2017-10-10,12,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,17,17,17,17,17,17,17,17,16,16,15,15,14,14,14,14,14,14,14,14,14,14,15,15,15
2017-10-11,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,15,15,15,15,16,16,15,15,15,15,15,15,15,15,14,14,14,14,13,13,12,12,11,11,11,11,11,11,10
2017-10-12,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,10,11,11,12,12,13,13,15,15,15,15,15,15,15,15,14,14,13,13,13,13,12,12,12,12,12,12,12,12,12,12,12
